,location,total_sqft,bath,price,BHK,loaction
163,Hebbal,1900.0,3.0,119.0,3,Hebbal
164,Dommasandra,805.0,2.0,22.14,2,Dommasandra
165,Budigere,1153.0,2.0,56.4,2,Budigere
166,other,1148.0,2.0,60.0,2,Dodda Nekkundi Extension
167,other,1110.0,2.0,55.0,2,Mylasandra
168,Electronic City,1100.0,2.0,42.0,2,Electronic City
169,other,1500.0,2.0,65.0,3,Dr Shivarama Karantha Nagar
170,other,1080.0,2.0,39.0,2,Bank Of Baroda Colony
171,Vijayanagar,1933.0,3.0,129.0,3,Vijayanagar
172,other,1060.0,2.0,60.0,2,Kullappa Colony
173,Chandapura,645.0,1.0,16.45,1,Chandapura
174,Chandapura,645.0,1.0,16.45,1,Chandapura
175,other,1644.0,3.0,84.0,3,Ashwath Nagar
176,other,1285.0,2.0,72.5,2,Ncpr Industrial Layout
177,Electronic City,1200.0,3.0,90.0,3,Electronic City
178,Electronic City,910.0,2.0,40.0,2,Electronic City
179,Kothanur,1577.0,3.0,70.0,3,Kothanur
180,Chandapura,800.0,1.0,20.0,2,Chandapura
181,other,1060.0,2.0,55.0,2,Anand Nagar
182,7th Phase JP Nagar,1270.0,2.0,93.0,2,7th Phase JP Nagar
183,other,900.0,2.0,22.5,2,Shree Ananth Nagar Layout
184,other,1280.0,2.0,69.0,2,Kundalahalli Colony
185,Horamavu Agara,1200.0,2.0,95.0,4,Horamavu Agara
186,Sarjapur  Road,1025.0,2.0,36.0,2,Sarjapur  Road
187,Electronic City,1108.0,2.0,63.0,2,Electronic City
188,Vijayanagar,1500.0,3.0,75.5,3,Vijayanagar
189,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,Raja Rajeshwari Nagar
190,Budigere,1162.0,2.0,59.9,2,Budigere
191,Sarjapur  Road,1035.0,2.0,49.2,2,Sarjapur  Road
192,Attibele,1600.0,4.0,52.8,4,Attibele
193,other,1464.0,3.0,46.0,3,KUDLU MAIN ROAD
194,Hennur Road,1866.0,2.0,61.58,3,Hennur Road
195,other,700.0,1.0,26.0,2,Geleyara Balaga Layout
196,Kalena Agrahara,1804.0,3.0,120.0,3,Kalena Agrahara
197,Sarjapur,913.0,2.0,32.0,2,Sarjapur
198,Talaghattapura,1868.0,3.0,131.0,3,Talaghattapura
199,Kengeri Satellite Town,883.0,2.0,45.0,2,Kengeri Satellite Town
200,Kogilu,1664.0,2.0,73.95,3,Kogilu
201,Balagere,1210.0,2.0,80.9,2,Balagere
202,Kadugodi,1762.0,3.0,91.45,3,Kadugodi
203,Jigani,1252.0,3.0,55.0,3,Jigani
204,Gollarapalya Hosahalli,861.0,2.0,34.5,2,Gollarapalya Hosahalli
205,7th Phase JP Nagar,1420.0,2.0,100.0,3,7th Phase JP Nagar
206,Electronics City Phase 1,1490.0,3.0,78.8,3,Electronics City Phase 1
207,Bisuvanahalli,1075.0,2.0,46.0,3,Bisuvanahalli
208,Old Madras Road,1425.0,2.0,94.0,3,Old Madras Road
209,Kalena Agrahara,1200.0,2.0,40.0,2,Kalena Agrahara
210,Kaggadasapura,1280.0,2.0,56.0,3,Kaggadasapura
211,other,1084.0,2.0,50.0,2,Silver Springs Layout
212,Chandapura,1015.0,2.0,25.88,2,Chandapura
213,Kanakpura Road,1017.0,2.0,51.25,2,Kanakpura Road
214,Haralur Road,1027.0,2.0,44.0,2,Haralur Road
215,Electronic City Phase II,1069.0,2.0,45.0,2,Electronic City Phase II
216,Hebbal,1349.0,2.0,98.2,2,Hebbal
217,9th Phase JP Nagar,1005.0,2.0,50.0,2,9th Phase JP Nagar
218,Jakkur,1417.0,2.0,75.0,2,Jakkur
219,TC Palaya,1475.0,3.0,98.0,3,TC Palaya
220,other,950.0,2.0,47.0,2,Maruthi Sevanagar
221,Sarjapur  Road,1863.0,3.0,104.0,4,Sarjapur  Road
222,Singasandra,1010.0,2.0,29.5,2,Singasandra
223,Kalena Agrahara,1425.0,2.0,70.0,3,Kalena Agrahara
224,Vijayanagar,1450.0,3.0,100.0,3,Vijayanagar
225,Kothanur,1847.0,3.0,105.0,3,Kothanur
226,AECS Layout,1100.0,2.0,45.0,2,AECS Layout
227,Kanakpura Road,525.0,1.0,26.0,1,Kanakpura Road
228,Mallasandra,1665.0,3.0,95.0,3,Mallasandra
229,Begur,1664.0,4.0,65.0,4,Begur
230,JP Nagar,1850.0,3.0,150.0,3,JP Nagar
231,Panathur,1438.0,2.0,100.0,2,Panathur
232,other,1560.0,3.0,115.0,3,Sunder Ram Shetty Nagar
233,Yelahanka,1350.0,2.0,55.55,2,Yelahanka
234,Kanakpura Road,1550.0,3.0,67.0,3,Kanakpura Road
235,Malleshpalya,1140.0,2.0,46.5,2,Malleshpalya
236,other,850.0,2.0,27.0,2,Kodathi
237,Whitefield,1280.0,2.0,75.0,2,Whitefield
238,Munnekollal,1170.0,2.0,52.0,2,Munnekollal
239,other,1113.0,2.0,51.0,2,Motappa Layout
240,Hennur Road,1385.0,2.0,83.09,2,Hennur Road
241,Electronic City,1128.0,2.0,65.0,2,Electronic City
242,Haralur Road,1464.0,3.0,56.0,3,Haralur Road
243,other,1200.0,2.0,55.0,2,Manayata Tech Park
244,Kaval Byrasandra,1200.0,2.0,52.0,2,Kaval Byrasandra
245,Kaggalipura,1150.0,2.0,55.0,3,Kaggalipura
246,other,1645.0,3.0,95.0,3,Basavanna Nagar
247,Sarjapur  Road,1000.0,2.0,67.0,2,Sarjapur  Road
248,6th Phase JP Nagar,1192.0,2.0,74.0,2,6th Phase JP Nagar
249,Whitefield,1173.0,2.0,58.0,2,Whitefield
250,Uttarahalli,1020.0,2.0,45.0,2,Uttarahalli
251,Somasundara Palya,1600.0,3.0,64.0,3,Somasundara Palya
252,other,1200.0,2.0,79.0,2,T.C PALYA
253,other,1230.0,2.0,48.0,2,Muneshwara Nagar
254, Devarachikkanahalli,1250.0,2.0,40.0,2,Devarachikkanahalli
255,Kalena Agrahara,1325.0,2.0,76.0,2,Kalena Agrahara
256,7th Phase JP Nagar,1850.0,3.0,150.0,3,7th Phase JP Nagar
257,Basaveshwara Nagar,1200.0,2.0,65.0,2,Basaveshwara Nagar
258,Bommasandra,1260.0,3.0,49.36,3,Bommasandra
259,other,1800.0,3.0,150.0,3,Prashanth Nagar
260,Ardendale,1100.0,2.0,43.25,2,Ardendale
261,Harlur,1508.0,2.0,77.0,2,Harlur
262,other,1592.0,3.0,75.0,3,Sampigehalli
263,Akshaya Nagar,1388.0,2.0,57.0,2,Akshaya Nagar
264,Electronic City Phase II,630.0,1.0,28.35,1,Electronic City Phase II
265,other,1762.0,3.0,125.0,3,Banashankari3rd stage bigbazar
266,other,950.0,2.0,50.0,2,Bagalur Main Road
267,Magadi Road,1116.0,2.0,50.0,2,Magadi Road
268,Narayanapura,1308.0,2.0,89.04,2,Narayanapura
269,other,1200.0,3.0,90.0,3,MS Pallya
270,Bannerghatta Road,500.0,1.0,18.5,1,Bannerghatta Road
271,Hennur,1075.0,2.0,52.0,2,Hennur
272,Chandapura,530.0,1.0,11.66,1,Chandapura
273,Bellandur,1205.0,2.0,66.0,2,Bellandur
274,5th Phase JP Nagar,1075.0,2.0,60.0,2,5th Phase JP Nagar
275,KR Puram,930.0,2.0,39.0,2,KR Puram
276,Balagere,1380.0,2.0,60.0,2,Balagere
277,Kodigehaali,1166.0,2.0,55.0,2,Kodigehaali
278,Bannerghatta Road,1050.0,2.0,65.0,2,Bannerghatta Road
279,Begur Road,1200.0,2.0,46.8,2,Begur Road
280,Lakshminarayana Pura,1600.0,2.0,108.0,3,Lakshminarayana Pura
281,Billekahalli,1935.0,3.0,110.0,3,Billekahalli
282,8th Phase JP Nagar,451.0,1.0,29.9,1,8th Phase JP Nagar
283,Electronic City,1800.0,3.0,95.0,3,Electronic City
284,Jalahalli,1400.0,3.0,77.0,3,Jalahalli
285,Hegde Nagar,1801.0,3.0,115.0,3,Hegde Nagar
286,Mahadevpura,1451.0,2.0,90.0,2,Mahadevpura
287,Anekal,1200.0,1.0,36.0,2,Anekal
288,Begur Road,1160.0,2.0,44.0,2,Begur Road
289,Kengeri,1000.0,2.0,25.0,2,Kengeri
290,Kanakpura Road,950.0,2.0,40.0,2,Kanakpura Road
291,other,1629.0,3.0,79.0,3,"Hoodi Circle,"
292,Vijayanagar,1580.0,2.0,134.0,3,Vijayanagar
293,Vijayanagar,1826.0,3.0,121.0,3,Vijayanagar
294,7th Phase JP Nagar,1245.0,2.0,94.0,2,7th Phase JP Nagar
295,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,Raja Rajeshwari Nagar
296,Sompura,825.0,2.0,33.0,2,Sompura
297,Yeshwanthpur,1693.0,3.0,108.0,3,Yeshwanthpur
298,Electronics City Phase 1,1113.27,2.0,53.0,2,Electronics City Phase 1
299,other,1460.0,2.0,58.0,2,Ashirvad Colony
300,Doddathoguru,1050.0,2.0,32.0,2,Doddathoguru
301,Dodda Nekkundi,1260.0,2.0,55.0,2,Dodda Nekkundi
302,Hosur Road,1656.0,2.0,120.0,2,Hosur Road
303,Chandapura,1208.0,3.0,45.0,3,Chandapura
304,Whitefield,1910.0,3.0,161.0,3,Whitefield
305,Battarahalli,1200.0,2.0,65.0,2,Battarahalli
306,7th Phase JP Nagar,1175.0,2.0,82.0,2,7th Phase JP Nagar
307,Kengeri,1276.0,1.0,18.5,1,Kengeri
308,other,1185.0,2.0,38.0,2,Sanne Amanikere
309,Kengeri,750.0,2.0,38.0,2,Kengeri
310,Kanakpura Road,1550.0,3.0,64.5,3,Kanakpura Road
311,other,1760.0,3.0,88.0,3,Amco Colony
312,Billekahalli,1125.0,2.0,62.0,2,Billekahalli
313,Anandapura,1000.0,2.0,55.0,2,Anandapura
314,Bommasandra Industrial Area,1090.0,2.0,31.48,2,Bommasandra Industrial Area
315,TC Palaya,1200.0,2.0,60.0,2,TC Palaya
316,Bommasandra,1060.0,2.0,26.5,2,Bommasandra
317,Ambalipura,1105.0,2.0,75.0,2,Ambalipura
318,Hoodi,985.0,2.0,67.0,2,Hoodi
319,Balagere,1590.0,3.0,79.0,3,Balagere
320,CV Raman Nagar,1120.0,2.0,55.0,2,CV Raman Nagar
321,other,1069.0,2.0,55.0,2,Samethanahalli
322,Marathahalli,1933.0,3.0,140.0,3,Marathahalli
323,Hosur Road,1194.0,2.0,69.0,2,Hosur Road
324,Brookefield,1150.0,2.0,69.0,2,Brookefield
325,Yelenahalli,1240.0,2.0,47.12,2,Yelenahalli
326,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,Raja Rajeshwari Nagar
327,other,1450.0,3.0,55.0,3,Suddaguntepalya
328,other,1630.0,3.0,68.29,3,Udayapur Village
329,Dasanapura,708.0,1.0,40.0,2,Dasanapura
330,Bellandur,1250.0,2.0,76.0,2,Bellandur
331,7th Phase JP Nagar,1400.0,2.0,95.0,3,7th Phase JP Nagar
332,Sarjapur  Road,1670.0,2.0,57.0,3,Sarjapur  Road
333,Ardendale,1750.0,3.0,100.0,3,Ardendale
334,Vittasandra,1404.0,2.0,71.0,2,Vittasandra
335,Hoodi,1715.0,2.0,95.0,3,Hoodi
336,Electronic City,630.0,1.0,34.65,1,Electronic City
337,Harlur,1752.12,3.0,135.0,3,Harlur
338,Hulimavu,1650.0,3.0,78.0,3,Hulimavu
339,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,Raja Rajeshwari Nagar
340,Sarjapur  Road,1346.0,2.0,74.03,2,Sarjapur  Road
341,Hormavu,1150.0,2.0,55.0,2,Hormavu
342,Chandapura,1190.0,2.0,30.35,3,Chandapura
343,AECS Layout,1620.0,3.0,98.0,3,AECS Layout
344,Marathahalli,950.0,2.0,46.96,2,Marathahalli
345,Electronic City Phase II,1220.0,2.0,35.23,3,Electronic City Phase II
346,other,850.0,2.0,30.0,2,Hoysalanagar
347,Padmanabhanagar,1020.0,2.0,63.0,2,Padmanabhanagar
348,Chikkalasandra,1100.0,2.0,50.0,2,Chikkalasandra
349,Hebbal,1760.0,2.0,130.0,3,Hebbal
350,Ambalipura,1800.0,3.0,110.0,3,Ambalipura
351,Akshaya Nagar,1070.0,2.0,54.0,2,Akshaya Nagar
352,Vidyaranyapura,1440.0,2.0,95.0,2,Vidyaranyapura
353,Amruthahalli,900.0,2.0,40.0,2,Amruthahalli
354,Whitefield,1130.0,2.0,42.16,2,Whitefield
355,Kodigehalli,1270.0,2.0,98.0,2,Kodigehalli
356,other,1200.0,2.0,62.0,2,Patelappa Layout
357,other,1200.0,2.0,74.0,2,NS Palya
358,Subramanyapura,929.0,2.0,50.17,2,Subramanyapura
359,other,1464.0,3.0,56.0,3,KUDLU MAIN ROAD
360,Chikkalasandra,1208.0,2.0,49.0,2,Chikkalasandra
361,Hebbal Kempapura,1130.0,2.0,60.0,2,Hebbal Kempapura
362,other,1753.0,3.0,120.0,3,Surabhi Layout
363,Hoodi,1196.0,2.0,94.42,2,Hoodi
364,Electronic City,1128.0,2.0,63.0,2,Electronic City
365,other,1000.0,2.0,53.0,2,Omkar Nagar
366,Yelahanka,1035.0,2.0,45.0,2,Yelahanka
367,Kereguddadahalli,950.0,2.0,32.0,2,Kereguddadahalli
368,Bisuvanahalli,1075.0,2.0,36.0,3,Bisuvanahalli
369,Whitefield,1040.0,2.0,48.5,2,Whitefield
370,other,720.0,2.0,45.0,2,Maragondanahalli
371,Lingadheeranahalli,1511.0,3.0,95.0,3,Lingadheeranahalli
372,other,1300.0,3.0,58.0,3,Silk Board
373,Hoodi,1545.0,3.0,68.75,3,Hoodi
374,Vidyaranyapura,1062.0,2.0,38.0,2,Vidyaranyapura
375,other,1115.0,2.0,40.0,2,Kada Agrahara
376,JP Nagar,1000.0,2.0,35.0,2,JP Nagar
377,Kambipura,883.0,2.0,45.0,2,Kambipura
378,Sarjapur  Road,1195.0,2.0,70.0,2,Sarjapur  Road
379,other,700.0,1.0,41.0,1,Medahalli
380,Vittasandra,1246.0,2.0,67.0,2,Vittasandra
381,other,1600.0,4.0,80.0,4,Kashi Nagar
382,Begur Road,1584.0,3.0,65.0,3,Begur Road
383,Hosur Road,1175.0,2.0,48.0,3,Hosur Road
384,other,1595.0,3.0,115.0,3,"Yemlur, Old Airport Road,"
385,other,1353.0,2.0,110.0,2,VHBCS Layout
386,Electronic City,1599.0,3.0,125.0,3,Electronic City
387,Whitefield,1150.0,2.0,70.0,2,Whitefield
388,KR Puram,1155.0,2.0,42.74,2,KR Puram
389,Electronic City Phase II,1000.0,2.0,25.0,2,Electronic City Phase II
390,Ramagondanahalli,1251.0,2.0,47.0,2,Ramagondanahalli
391,other,1028.0,2.0,45.5,2,Gattahalli
392,Arekere,1222.0,2.0,45.0,2,Arekere
393,Bannerghatta Road,1170.0,2.0,66.0,3,Bannerghatta Road
394,other,1385.0,2.0,48.48,3,Ramanjaneyanagar
395,HSR Layout,1372.0,2.0,68.0,2,HSR Layout
396,Magadi Road,1282.0,2.0,49.0,3,Magadi Road
397,Kanakpura Road,1135.0,2.0,39.73,2,Kanakpura Road
398,Whitefield,1768.0,3.0,101.0,3,Whitefield
399,other,1325.0,2.0,90.0,3,Byatarayanapura
400,Electronic City,1599.0,3.0,99.0,3,Electronic City
401,Whitefield,1500.0,3.0,61.95,3,Whitefield
402,Uttarahalli,1286.0,2.0,63.0,2,Uttarahalli
403,other,1600.0,2.0,50.0,3,K G Colony
404,Hennur Road,1317.5,2.0,63.77,2,Hennur Road
405,Munnekollal,1102.0,2.0,53.67,2,Munnekollal
406,Yelahanka,1350.0,2.0,54.0,2,Yelahanka
407,Banashankari,1200.0,2.0,42.0,3,Banashankari
408,other,1800.0,1.0,80.0,2,Herohalli
409,Chikkabanavar,950.0,2.0,40.0,2,Chikkabanavar
410,Kanakpura Road,525.0,1.0,27.25,1,Kanakpura Road
411,Attibele,656.0,2.0,25.0,2,Attibele
412,other,1056.0,2.0,80.0,2,3rd Block Hrbr Layout
413,Bannerghatta Road,595.0,1.0,33.32,1,Bannerghatta Road
414,other,1080.0,2.0,50.0,2,Ittamadu
415,Bommasandra,1126.0,2.0,28.15,2,Bommasandra
416,Electronics City Phase 1,1490.0,3.0,84.0,3,Electronics City Phase 1
417,Sarjapur  Road,1550.0,3.0,100.0,3,Sarjapur  Road
418,other,1600.0,3.0,86.0,3,whitefield
419,other,1160.0,2.0,55.0,2,Ashwini layout
420,Vittasandra,1404.0,2.0,69.3,2,Vittasandra
421,other,1544.0,3.0,120.0,3,Marathalli bridge
422,Banashankari Stage III,1305.0,2.0,58.7,3,Banashankari Stage III
423,Marathahalli,1230.0,2.0,80.0,2,Marathahalli
424,other,1200.0,2.0,65.0,2,T.C PALYA
425,Harlur,1460.0,3.0,73.0,3,Harlur
426,Sarjapur  Road,1800.0,2.0,34.185,2,Sarjapur  Road
427,Gottigere,967.0,2.0,45.0,2,Gottigere
428,other,540.0,1.0,36.0,1,Byatarayanapura
429,Hormavu,715.0,1.0,46.0,1,Hormavu
430,Mysore Road,1020.0,2.0,48.95,2,Mysore Road
431,Jigani,1020.0,2.0,40.0,2,Jigani
432,Koramangala,1253.0,2.0,102.0,2,Koramangala
433,other,1180.0,2.0,42.0,2,JCR Layout
434,Nehru Nagar,961.0,2.0,38.0,2,Nehru Nagar
435,Kanakapura,1419.0,3.0,75.0,3,Kanakapura
436,other,1600.0,2.0,115.0,2,Papareddipalya
437,other,416.0,1.0,18.5,1,Venkatapura
438,HSR Layout,1430.0,2.0,65.0,3,HSR Layout
439,other,1260.0,2.0,45.0,2,Sneha Colony
